"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","33","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","1","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","14","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Thu Oct 20 07:19:30 UTC 2022","Thu Oct 20 07:19:40 UTC 2022","10235","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","9","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","12","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","13","","test_pipeline","TestPipeline","","","js udf in sync",""
"failed","Thu Oct 20 07:19:40 UTC 2022","Thu Oct 20 07:19:46 UTC 2022","5130","","test_datasource","TestDataSource","","","test mysql form valid",""
"failed","Thu Oct 20 07:19:25 UTC 2022","Thu Oct 20 07:19:30 UTC 2022","5142","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10","","test_pipeline","TestPipeline","","","test_check",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","11","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10","","test_pipeline","TestPipeline","","","config job",""
"failed","Thu Oct 20 07:19:46 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10170","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","10","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"failed","Thu Oct 20 07:19:19 UTC 2022","Thu Oct 20 07:19:25 UTC 2022","5613","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Thu Oct 20 07:19:56 UTC 2022","Thu Oct 20 07:19:56 UTC 2022","11","","test_pipeline","TestPipeline","","","js udf in sync",""
