"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","15","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","8","","test_pipeline","TestPipeline","","","test_check",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Fri Oct 21 11:04:04 UTC 2022","Fri Oct 21 11:04:14 UTC 2022","10190","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"failed","Fri Oct 21 11:04:19 UTC 2022","Fri Oct 21 11:04:29 UTC 2022","10167","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","8","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","8","","test_pipeline","TestPipeline","","","config job",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","8","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","10","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","10","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","10","","test_pipeline","TestPipeline","","","test stop job",""
"failed","Fri Oct 21 11:03:53 UTC 2022","Fri Oct 21 11:03:59 UTC 2022","5428","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Fri Oct 21 11:04:29 UTC 2022","Fri Oct 21 11:04:29 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"failed","Fri Oct 21 11:04:14 UTC 2022","Fri Oct 21 11:04:19 UTC 2022","5110","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","11","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","12","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","8","","test_pipeline","TestPipeline","","","rename column in sync",""
"failed","Fri Oct 21 11:03:59 UTC 2022","Fri Oct 21 11:04:04 UTC 2022","5126","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Fri Oct 21 11:04:30 UTC 2022","Fri Oct 21 11:04:30 UTC 2022","29","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
